Date,Open,High,Low,Close,Volume
2015-01-01 00:00:00+05:30,188.78458634854346,189.99869740526844,188.22011599157378,189.12538146972656,2963643
2015-01-02 00:00:00+05:30,189.16797331601128,190.86135588187943,188.3585707167246,188.62481689453125,7331366
2015-01-05 00:00:00+05:30,188.5076641535704,189.7643887395962,186.18592644379618,186.55868530273438,10103941
2015-01-06 00:00:00+05:30,185.31263733574957,185.95164240953517,177.21851145319286,178.09182739257812,18627980
2015-01-07 00:00:00+05:30,178.30482844947335,182.92699000748544,178.2835287555138,181.96847534179688,20720312
2015-01-08 00:00:00+05:30,183.2038861888668,183.8003060577635,178.95448349019216,179.35919189453125,19872227
2015-01-09 00:00:00+05:30,180.71175573354262,183.60859950458453,179.9875519001595,183.24649047851562,13392787
2015-01-12 00:00:00+05:30,183.28911034880545,183.39560882518367,179.26335419166767,181.11647033691406,10100113
2015-01-13 00:00:00+05:30,181.69156735665987,182.10692561278077,179.0290344848976,179.59349060058594,9948711
2015-01-14 00:00:00+05:30,179.5615615474819,180.4135778511639,177.04812624850047,177.84689331054688,11380041
2015-01-15 00:00:00+05:30,178.92252706998613,185.54691648630015,178.92252706998613,184.0878448486328,16927085
2015-01-16 00:00:00+05:30,183.18257695961665,186.3776304213054,181.48920872023663,185.24871826171875,19136963
2015-01-19 00:00:00+05:30,185.35522508539012,188.72066202305834,182.9163390480819,187.36810302734375,13339962
2015-01-20 00:00:00+05:30,187.76215928286896,192.88487777380465,187.1976889657768,192.3523712158203,13361320
2015-01-21 00:00:00+05:30,192.76772777789918,194.13093659194718,190.00933217222018,193.14047241210938,17084297
2015-01-22 00:00:00+05:30,192.79968714574107,193.23634510111373,187.33615910809786,188.24142456054688,23721627
2015-01-23 00:00:00+05:30,189.57268879755253,191.23410766531313,186.80365735128487,188.91238403320312,18080494
2015-01-27 00:00:00+05:30,190.19036791554043,190.9997846520368,187.54913500401756,189.3703155517578,17939876
2015-01-28 00:00:00+05:30,188.74194439008065,193.79012777066026,188.74194439008065,193.16175842285156,19298126
2015-01-29 00:00:00+05:30,193.215022497366,199.05130914446687,193.17242311034371,197.96499633789062,36117653
2015-01-30 00:00:00+05:30,198.0928096325485,198.3590700405331,193.6197456846964,194.95101928710938,21746801
2015-02-02 00:00:00+05:30,195.12140709820193,195.94147375756123,192.91683188652132,193.41738891601562,19302710
2015-02-03 00:00:00+05:30,194.5143426249075,200.40387838973308,194.5143426249075,199.7116241455078,17092333
2015-02-04 00:00:00+05:30,200.0311139225026,201.03222790718357,197.21948341965077,197.83718872070312,14072894
2015-02-05 00:00:00+05:30,199.37084932455588,200.20155171757074,195.45159136774754,196.75091552734375,12365643
2015-02-06 00:00:00+05:30,196.8360735125005,198.09278379928662,192.34171045561953,193.81143188476562,9045844
2015-02-09 00:00:00+05:30,191.95833163738436,195.53678004195015,189.9987027603296,190.99981689453125,8839692
2015-02-10 00:00:00+05:30,191.27668721242378,192.66119557963313,183.4594730323607,187.86863708496094,13651008
2015-02-11 00:00:00+05:30,188.72066728777244,192.71448796110394,188.08166223629144,191.85182189941406,9781008
2015-02-12 00:00:00+05:30,193.40674113759897,194.6741013860684,188.98692660117334,193.6516876220703,8709626
2015-02-13 00:00:00+05:30,194.68474960215633,196.1331714588112,193.63038630553888,195.43026733398438,7393680
2015-02-16 00:00:00+05:30,195.68583903510805,196.8573647207144,191.7026829853023,192.29910278320312,12266698
2015-02-18 00:00:00+05:30,191.7027095249581,193.40674195129375,190.5098982015268,192.05416870117188,9835036
2015-02-19 00:00:00+05:30,193.18311795956453,193.32158021839606,189.05086270575234,192.139404296875,9550637
2015-02-20 00:00:00+05:30,190.6909410725933,190.85070299548755,185.58952219951283,185.97293090820312,18717199
2015-02-23 00:00:00+05:30,185.3019768066479,186.75039865082314,180.4348545538407,181.36141967773438,14104463
2015-02-24 00:00:00+05:30,181.95783049156356,182.50098692120213,178.28353365136033,179.23138427734375,19946218
2015-02-25 00:00:00+05:30,180.7969659805008,182.437085092006,179.14618280312914,179.59349060058594,15274116
2015-02-26 00:00:00+05:30,180.221842927788,181.05255942679545,178.1983151337351,179.34854125976562,21459750
2015-02-27 00:00:00+05:30,180.53067750542482,183.39557124548256,179.90232240479483,182.2346954345703,18659378
2015-03-02 00:00:00+05:30,185.09960871120293,186.48413142281302,182.23471466876626,184.0878448486328,14579511
