Date,Open,High,Low,Close,Volume
2015-01-01 00:00:00+05:30,978.5075011703269,978.5075011703269,968.5966343879239,970.3310546875,366830
2015-01-02 00:00:00+05:30,972.407814421509,987.6362129731707,972.255376881694,983.2525634765625,925740
2015-01-05 00:00:00+05:30,983.8433013156155,991.0476958589776,962.3633841875323,968.3099365234375,1754242
2015-01-06 00:00:00+05:30,964.0601111689864,964.0601111689864,930.0963111077494,932.6121826171875,2423784
2015-01-07 00:00:00+05:30,941.5318622859832,945.019686008026,917.6885975251638,921.5957641601562,2636332
2015-01-08 00:00:00+05:30,931.0111431723251,933.5270147370503,922.6822625986692,931.5448608398438,1565408
2015-01-09 00:00:00+05:30,935.8142132929771,960.5532157592123,933.908278031688,957.65625,3197642
2015-01-12 00:00:00+05:30,959.4478453278592,963.640903054759,945.4392206493535,956.6651611328125,1596006
2015-01-13 00:00:00+05:30,960.5912623084353,964.5555699752081,945.3819378805123,952.1669921875,1468432
2015-01-14 00:00:00+05:30,959.0668550065359,965.0896304988012,953.1584542702078,961.3348999023438,1787096
2015-01-15 00:00:00+05:30,965.5462440988854,984.1291021327664,961.8296724921092,967.8715209960938,5009920
2015-01-16 00:00:00+05:30,969.625323542429,970.1208852398732,946.9828536623187,965.2225952148438,5293830
2015-01-19 00:00:00+05:30,966.6901971170599,972.4080019107333,954.1110265709783,957.1605224609375,1135074
2015-01-20 00:00:00+05:30,960.5911397001497,964.4030093021344,946.5825189128558,953.138916015625,2058566
2015-01-21 00:00:00+05:30,961.3535588463097,961.3535588463097,948.4884983343894,958.2278442382812,2310480
2015-01-22 00:00:00+05:30,959.2567458227628,961.0673834316076,951.2518216573434,958.1322631835938,2113214
2015-01-23 00:00:00+05:30,958.3041514631371,965.1845956660427,951.4809411501697,954.33984375,3150380
2015-01-27 00:00:00+05:30,959.5918172532822,960.6039471343664,950.8833413490463,955.65771484375,2738736
2015-01-28 00:00:00+05:30,956.0203557862076,972.0240152133267,955.982123506167,969.999755859375,3121980
2015-01-29 00:00:00+05:30,969.3885989446686,981.1144392339411,959.8016216001585,971.9285278320312,3734392
2015-01-30 00:00:00+05:30,978.0587443267037,983.5206446146487,943.4159193002649,948.0184326171875,5817402
2015-02-02 00:00:00+05:30,947.9992714720091,963.0671703320187,940.3793926739271,960.2980346679688,3181802
2015-02-03 00:00:00+05:30,959.3238498061955,979.7009019675544,957.5860534100475,977.1227416992188,2345054
2015-02-04 00:00:00+05:30,980.846924908917,982.2601202863495,955.6764745328792,960.3362426757812,2245418
2015-02-05 00:00:00+05:30,962.5132338495002,989.8990084008068,962.1312841535282,974.8883666992188,4530168
2015-02-06 00:00:00+05:30,975.1178320568417,991.0833522265054,974.2966772928106,983.8071899414062,2136416
2015-02-09 00:00:00+05:30,978.3643715052156,981.2672271627738,954.8744597942764,959.8015747070312,2076432
